YEAR,DOY,RH2M,GWETROOT
2022,1,100.0,0.7
2022,2,95.44,0.7
2022,3,71.06,0.7
2022,4,72.75,0.7
2022,5,99.12,0.7
2022,6,84.75,0.7
2022,7,89.44,0.7
2022,8,75.25,0.7
2022,9,92.44,0.7
2022,10,70.44,0.71
2022,11,74.69,0.7
2022,12,83.0,0.7
2022,13,91.12,0.7
2022,14,86.25,0.7
2022,15,75.69,0.7
2022,16,79.69,0.7
2022,17,93.31,0.73
2022,18,74.94,0.73
2022,19,87.19,0.73
2022,20,83.12,0.73
2022,21,78.75,0.73
2022,22,82.94,0.73
2022,23,85.62,0.73
2022,24,81.06,0.73
2022,25,87.88,0.73
2022,26,75.75,0.73
2022,27,79.5,0.72
2022,28,87.31,0.72
2022,29,92.44,0.72
2022,30,86.25,0.72
2022,31,76.5,0.72
2022,32,92.19,0.72
2022,33,97.06,0.72
2022,34,99.5,0.73
2022,35,98.19,0.77
2022,36,95.12,0.77
2022,37,94.12,0.77
2022,38,98.69,0.77
2022,39,97.12,0.8
2022,40,87.88,0.8
2022,41,96.19,0.8
2022,42,90.38,0.8
2022,43,87.88,0.8
2022,44,81.38,0.8
2022,45,74.69,0.8
2022,46,77.31,0.8
2022,47,86.38,0.79
2022,48,91.81,0.8
2022,49,76.5,0.8
2022,50,72.75,0.8
2022,51,65.75,0.8
2022,52,83.56,0.79
2022,53,93.88,0.8
2022,54,84.38,0.81
2022,55,58.19,0.8
2022,56,91.06,0.8
2022,57,90.62,0.8
2022,58,91.75,0.8
2022,59,81.0,0.8
2022,60,80.88,0.8
2022,61,88.69,-999.0
2022,62,85.81,-999.0
2022,63,82.5,-999.0
2022,64,87.25,-999.0
2022,65,98.06,-999.0
2022,66,88.62,-999.0
2022,67,73.81,-999.0
2022,68,86.56,-999.0
2022,69,85.25,-999.0
2022,70,84.38,-999.0
2022,71,90.62,-999.0
2022,72,73.0,-999.0
2022,73,84.12,-999.0
2022,74,91.19,-999.0
2022,75,84.94,-999.0
2022,76,96.06,-999.0
2022,77,87.06,-999.0
2022,78,96.94,-999.0
2022,79,86.5,-999.0
2022,80,73.81,-999.0
2022,81,70.12,-999.0
2022,82,75.56,-999.0
2022,83,96.38,-999.0
2022,84,86.75,-999.0
2022,85,85.75,-999.0
2022,86,79.69,-999.0
2022,87,67.06,-999.0
2022,88,67.62,-999.0
2022,89,74.5,-999.0
2022,90,92.75,-999.0
2022,91,82.0,-999.0
2022,92,69.38,-999.0
2022,93,78.69,-999.0
2022,94,77.69,-999.0
2022,95,73.88,-999.0
2022,96,94.0,-999.0
2022,97,84.19,-999.0
2022,98,85.44,-999.0
2022,99,88.0,-999.0
2022,100,78.38,-999.0
2022,101,72.75,-999.0
2022,102,81.75,-999.0
2022,103,73.62,-999.0
2022,104,88.19,-999.0
2022,105,72.19,-999.0
2022,106,82.88,-999.0
2022,107,77.12,-999.0
2022,108,73.44,-999.0
2022,109,81.88,-999.0
2022,110,72.75,-999.0
2022,111,79.25,-999.0
2022,112,76.38,-999.0
2022,113,71.56,-999.0
2022,114,67.0,-999.0
2022,115,75.5,-999.0
2022,116,87.88,-999.0
2022,117,75.19,-999.0
2022,118,64.31,-999.0
2022,119,66.31,-999.0
2022,120,73.5,-999.0
2022,121,70.75,-999.0
2022,122,81.19,-999.0
2022,123,81.94,-999.0
2022,124,92.75,-999.0
2022,125,75.75,-999.0
2022,126,70.06,-999.0
2022,127,75.62,-999.0
2022,128,71.25,-999.0
